#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
135 | 24.03 | 0.75 | 0.14
136 | 24.03 | 0.76 | 0.07
137 | 24.03 | 0.76 | 0.18
138 | 24.03 | 0.77 | 0.13
139 | 24.03 | 0.77 | 0.13
140 | 24.03 | 0.78 | 0.22
141 | 24.03 | 0.78 | 0.15
142 | 24.03 | 0.79 | 0.12
143 | 24.03 | 0.79 | 0.18
144 | 24.03 | 0.80 | 0.16
145 | 24.03 | 0.81 | 0.12
146 | 24.03 | 0.81 | 0.18
147 | 24.03 | 0.82 | 0.25
148 | 24.03 | 0.82 | 0.22
149 | 24.03 | 0.83 | 0.11
150 | 24.03 | 0.83 | 0.14
151 | 24.00 | 0.84 | 0.16
152 | 24.00 | 0.84 | 0.25
153 | 24.00 | 0.85 | 0.27
154 | 24.03 | 0.86 | 0.27
155 | 24.00 | 0.86 | 0.17
156 | 24.00 | 0.87 | 0.18
157 | 24.00 | 0.87 | 0.26
158 | 24.00 | 0.88 | 0.20
159 | 24.00 | 0.88 | 0.32
160 | 24.00 | 0.89 | 0.28
161 | 24.00 | 0.89 | 0.38
162 | 24.00 | 0.90 | 0.20
163 | 24.00 | 0.91 | 0.21
164 | 24.00 | 0.91 | 0.41
165 | 24.00 | 0.92 | 0.50
166 | 24.00 | 0.92 | 0.39
167 | 24.00 | 0.93 | 0.33
168 | 24.00 | 0.93 | 0.48
169 | 24.00 | 0.94 | 0.30
170 | 24.00 | 0.94 | 0.75
171 | 24.00 | 0.95 | 0.51
172 | 24.00 | 0.96 | 0.80
173 | 24.00 | 0.96 | 0.68
174 | 24.00 | 0.97 | 0.70
175 | 24.00 | 0.97 | 1.02
176 | 24.00 | 0.98 | 1.38
177 | 24.00 | 0.98 | 1.97
178 | 24.00 | 0.99 | 3.24
179 | 24.00 | 0.99 | 6.79
